br.com.MDSGPP.ChamadaParlamentar.model,,,,
Partidos.java,,,,
Método,Variável,Tipo,Funcionalidade,Nome sugerido
Partidos,sigla,String,recebe a sigla de determinado partido,initials
Partidos,nomePartido,String,recebe o nome do partido,partyName
Partidos,deputadosPartido,ArrayList,lista com os deputados do partido,partyDeputy
Partidos,estatisticaDosDeputados,ArrayList,lista com a estatistica dos deputados de determinado partido,deputyStatistcs
Partidos,deputadosSemDados,ArrayList,lista com os deputados sem dados armazenados,noDataDeputy
