br.com.MDSGPP.ChamadaParlamentar,,,,,
,connectionFactory,,,,
,Metodo,Variavel,Tipo,Funcionalidade,Sugestão nome
,getConnection,conexao,Connection,Cria conexao com banco de dados,connection
